The Roundup: No Way Out,2023,"Action, Crime, Thriller",N/A,105 ,6.6
AKA,2023,"Action, Crime, Thriller",TV-MA,122 ,6.6
Kill Boksoon,2023,"Action, Thriller",TV-MA,137 ,6.6
Napoleon,2023,"Action, Adventure, Biography",R,158 ,6.5
How to Have Sex,2023,Drama,N/A,91 ,6.5
A Haunting in Venice,2023,"Crime, Drama, Horror",PG-13,103 ,6.5
Asteroid City,2023,"Comedy, Drama, Romance",PG-13,105 ,6.5
Pain Hustlers,2023,"Crime, Drama",R,123 ,6.5
Evil Dead Rise,2023,Horror,R,96 ,6.5
Scream VI,2023,"Horror, Mystery, Thriller",R,122 ,6.5
Plane,2023,"Action, Adventure, Thriller",R,107 ,6.5
Boston Strangler,2023,"Crime, Drama, History",R,112 ,6.5
Firebrand,2023,"Drama, History",N/A,120 ,6.5
Blood & Gold,2023,"Action, Drama, War",TV-MA,98 ,6.5
Chevalier,2022,"Biography, Drama, History",PG-13,108 ,6.5
Full River Red,2023,"Comedy, Drama, History",N/A,159 ,6.5
Ransomed,2023,"Action, Drama, Thriller",N/A,132 ,6.5
No Hard Feelings,2023,"Comedy, Romance",R,103 ,6.4
Renfield,2023,"Comedy, Fantasy, Horror",R,93 ,6.4
M3GAN,2022,"Horror, Sci-Fi, Thriller",PG-13,102 ,6.4
96,2018,"Drama, Romance",Not Rated,158 ,8.5
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",PG-13,149 ,8.4
Capernaum,2018,Drama,R,126 ,8.4
Mahanati,2018,"Biography, Drama",Not Rated,177 ,8.4
Green Book,2018,"Biography, Comedy, Drama",PG-13,130 ,8.2
Andhadhun,2018,"Crime, Mystery, Thriller",Not Rated,139 ,8.2
They Shall Not Grow Old,2018,"Documentary, History, War",R,99 ,8.2
Free Solo,2018,"Documentary, Adventure, Sport",PG-13,100 ,8.1
The Wild Pear Tree,2018,Drama,N/A,188 ,8
Bohemian Rhapsody,2018,"Biography, Drama, Music",PG-13,134 ,7.9
Shoplifters,2018,"Crime, Drama, Thriller",R,121 ,7.9
Pad Man,2018,"Comedy, Drama",PG-13,140 ,7.9
Robin Williams: Come Inside My Mind,2018,"Documentary, Biography, Comedy",TV-MA,116 ,7.9
Isle of Dogs,2018,"Animation, Adventure, Comedy",PG-13,101 ,7.8
1987: When the Day Comes,2017,"Drama, History, Thriller",Not Rated,129 ,7.8
Dying to Survive,2018,"Comedy, Drama",Not Rated,117 ,7.8
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",PG-13,147 ,7.7
Roma,2018,Drama,R,135 ,7.7
Be With You,2018,"Drama, Fantasy, Romance",PG-13,132 ,7.7
Raazi,2018,"Action, Drama, Thriller",Not Rated,138 ,7.7
Deadpool 2,2018,"Action, Adventure, Comedy",R,119 ,7.6
A Star Is Born,2018,"Drama, Music, Romance",R,136 ,7.6
Incredibles 2,2018,"Animation, Action, Adventure",PG,118 ,7.6
Searching,2018,"Drama, Mystery, Thriller",PG-13,102 ,7.6
Hotel Mumbai,2018,"Action, Drama, History",R,123 ,7.6
Sanju,2018,"Biography, Comedy, Drama",TV-MA,155 ,7.6
Parmanu: The Story of Pokhran,2018,"Action, Drama, History",Not Rated,129 ,7.6
The Favourite,2018,"Biography, Comedy, Drama",R,119 ,7.5
A Quiet Place,2018,"Drama, Horror, Sci-Fi",PG-13,90 ,7.5
BlacKkKlansman,2018,"Biography, Comedy, Crime",R,135 ,7.5
Upgrade,2018,"Action, Sci-Fi, Thriller",R,100 ,7.5
Burning,2018,"Drama, Mystery, Thriller",Not Rated,148 ,7.5
The Hate U Give,2018,"Crime, Drama",PG-13,133 ,7.5
"Love, Simon",2018,"Comedy, Drama",PG-13,110 ,7.5
Cold War,2018,"Drama, Music, Romance",R,89 ,7.5
The Guilty,2018,"Crime, Drama, Thriller",R,85 ,7.5
Happy as Lazzaro,2018,"Drama, Fantasy, Mystery",PG-13,128 ,7.5
Stree,2018,"Comedy, Horror",Not Rated,128 ,7.5
